carrier,plan_type,plan_name,plan_price,plan_data,plan_features
public_mobile,prepaid,Canada-US-Mexico,35.0,60.0,"• 5G Speed¹
60GB Data
Unlimited Talk & Text²
500 International minutes³
$1.75/mo. in Public Points™"
public_mobile,prepaid,Canada-wide,34.0,60.0,"• 60GB data at 5G speed up to 250Mbps¹¹
Unlimited data at reduced speed¹⁰
Unlimited Talk & Text²
$1.70/mo. in Public Points™"
public_mobile,prepaid,Canada-US-Mexico,29.0,10.0,"• 5G Speed¹
10GB Data
Unlimited Talk & Text²
100 International minutes³
$1.45/mo. in Public Points™"
public_mobile,prepaid,Canada-wide,25.0,5.0,"• 4G Speed¹
5GB Data
Unlimited Talk & Text²
$1.25/mo. in Public Points™"
public_mobile,prepaid,Canada-wide,22.0,3.0,"• 4G Speed¹
3GB Data
Unlimited Talk & Text²
$1.10/mo. in Public Points™"
public_mobile,prepaid,Canada-US-Mexico,45.0,80.0,"• 5G Speed¹
80GB Data
Unlimited Talk & Text²
1000 International minutes³
$2.25/mo. in Public Points™"
public_mobile,prepaid,Canada-wide,19.0,1.0,"• 4G Speed¹
1GB Data
Unlimited Talk & Text²
$0.95/mo. in Public Points™"
freedom_prepaid,prepaid,50GB 5G+ plan,35.0,60.0,• Canada + U.S. + MexicoRoam Beyond in 100+ destinations
freedom_prepaid,prepaid,75GB 5G+ plan,45.0,80.0,• Canada + U.S. + MexicoRoam Beyond in 100+ destinations
freedom_prepaid,prepaid,100GB 5G+ plan,55.0,100.0,• Canada + U.S. + MexicoRoam Beyond in 100+ destinations
freedom_prepaid,prepaid,100GB 5G+ plan,40.0,100.0,• Freedom Nationwide
freedom_prepaid,prepaid,125GB 5G+ plan,50.0,125.0,• Freedom Nationwide
freedom_prepaid,prepaid,150GB 5G+  plan,60.0,150.0,• Freedom Nationwide
freedom_prepaid,prepaid,1GB  5G + plan,19.0,1.0,• Canada + U.S. + MexicoRoam Beyond in 100+ destinations
